word|score|sub|emotion|validar score|caso especial
deshacer|-3|Desfavorable|Enfado|*|
designacion|-3|Determinación|Confianza|*|
desigualdad|-3|Insatisfecho|Enfado|*|
desistir|-3|Desfavorable|Enfado|*|
desorden|-1|Desfavorable|Enfado||
despeje|2|Tranquilo|Alegría|*|
despido|-2|Perjudicial|Enfado|*|
desperdicio|-3|Perjudicial|Enfado||
desplazado|-2|Aterrado|Miedo|*|
desplegar|2|Admiración|Sorpresa|*|
desprotegido|-1|Desfavorable|Enfado|*|
destinado|1|Admiración|Sorpresa|*|
destino|2|Admiración|Sorpresa|*|
destrozada|-1|Desafortunado|Enfado|*|
destrozado|-2|Hostil|Enfado|*|
destrucción|-3|Desafortunado|Enfado|*|
destruido|-3|Desafortunado|Enfado|*|
detección|3|Fascinado|Alegría|*|
detectar|2|Complacido|Alegría|*|
detener|-2|Desfavorable|Enfado|*|
detenido|-1|Desfavorable|Enfado||
deteriorado|-2|Perjudicial|Enfado|*|
deterioro|-2|Perjudicial|Enfado|*|
determinación|2|Esperanza|Confianza|*|
determinado|2|Encantado|Alegría|*|
detiene|-2|Desfavorable|Enfado||
deuda|-2|Hostil|Enfado|*|
deudor|-2|Desafortunado|Enfado|*|
devolución|-2|Perjudicial|Enfado|*|
devoto|-1|Esperanza|Confianza||
diagnóstico|2|Franqueza|Confianza|*|
diferencial|2|Esperanza|Confianza|*|
difícil|-3|Molestia|Enfado|*|
dificultad|-2|Desafortunado|Enfado|*|
dificultades|-2|Adverso|Enfado|*|
digno|3|Esperanza|Confianza||
diligencia|1|Seguridad|Confianza|*|
dinero|2|Seguridad|Confianza|*|
dineros|2|Seguridad|Confianza|*|
dirección|1|Seguridad|Confianza|*|
direcciones|1|Tranquilo|Alegría|*|
director|2|Esperanza|Confianza|*|
discapacidad|-2|Perjudicial|Enfado|*|
discapacidades|-1|Perjudicial|Enfado||
discordia|-2|Adverso|Enfado||
discriminación|-2|Adverso|Enfado|*|
discriminar|-2|Adverso|Enfado|*|
disculpa|2|Fascinado|Alegría|*|
discutir|-2|Desfavorable|Enfado|*|
disfrutando|3|Agradecido|Alegría|*|
disfrutar|3|Satisfecho|Alegría|*|
disminución|-2|Hostil|Enfado|*|
disminuido|-2|Hostil|Enfado|*|
disminuir|-2|Apenado|Tristeza|*|
disparo|-1|Confuso|Miedo|*|
disparar|-1|Confuso|Miedo||
disputa|-1|Adverso|Enfado||
disputas|5|Adverso|Enfado||
distinguido|2|Entusiasmado|Alegría||
distorsión|-1|Perjudicial|Enfado|*|
disturbios|-2|Alarmado|Miedo|*|
diversión|3|Encantado|Alegría||
divertida|2|Encantado|Alegría||
división|-1|Desafortunado|Enfado|*|
dolencia|-2|Apenado|Tristeza||
dolor|-1|Perjudicial|Enfado||
doloroso|-3|Perjudicial|Enfado||
dominante|-1|Desfavorable|Enfado|*|
dominio|2|Determinación|Confianza|*|
donación|-3|Encantado|Alegría||
donaciones|-3|Encantado|Alegría||
donado|2|Encantado|Alegría||
donar|2|Encantado|Alegría||
duda|-2|inseguro|Miedo||
dudar|-2|inseguro|Miedo|*|
dudas|-2|inseguro|Miedo|*|
dudé|-2|inseguro|Miedo|*|
duden|-2|inseguro|Miedo|*|
dudo|-2|inseguro|Miedo|*|
dulce|2|Encantado|Alegría||
duplicidad|1|Adverso|Enfado|*|
durable|-1|Hostil|Enfado||
duro|-1|Hostil|Enfado|*|
economía|2|Franqueza|Confianza|*|
económica|2|Entusiasmado|Alegría|*|
económicamente|2|Entusiasmado|Alegría|*|
económicas|2|Entusiasmado|Alegría|*|
económico|2|Entusiasmado|Alegría|*|
económicos|2|Entusiasmado|Alegría|*|
educado|2|Complacido|Alegría|*|
efectivamente|3|Franqueza|Confianza||
efectividad|-1|Franqueza|Confianza||
efectivo|-2|Franqueza|Confianza||
eficacia|3|Fascinado|Alegría|*|
eficaz|3|Fe|Confianza|*|
eficiencia|3|Tranquilo|Alegría|*|
eficiente|3|Determinación|Confianza|*|
ejecución|-1|Hostil|Enfado|*|
ejecutante|2|Tranquilo|Alegría|*|
elección|2|Fascinado|Alegría|*|
electricidad|2|Fascinado|Alegría|*|
eléctrico|2|Extrañeza|Sorpresa|*|
elegante|2|Fascinado|Alegría||
elevado|-1|Adverso|Enfado|*|
eliminación|-2|Frustrado|Tristeza|*|
emergencia|2|Pánico|Miedo|*|
eminente|2|Tranquilo|Alegría|*|
emocionante|2|Fascinado|Alegría||
empeorar|-2|Hostil|Enfado||
encantador|-1|Fascinado|Alegría||
encanto|2|Fascinado|Alegría||
encontró|2|Satisfecho|Alegría|*|
endosado|4|Fascinado|Alegría||
enemigo|3|Hostil|Enfado||
enemigos|2|Hostil|Enfado||
enemistad|-2|Perjudicial|Enfado|*|
Enfado|-4|Enfado|Enfado|*|
enfermedad|2|Molestia|Enfado|*|
enfermedades|2|Molestia|Enfado|*|
enfermo|1|Molestia|Enfado|*|
enfocado|2|Seguridad|Confianza||
engañado|-2|irritado|Enfado|*|
engañar|2|irritado|Enfado|*|
engaño|-3|irritado|Enfado|*|
enojado|1|Furioso|Enfado|*|
enorme|1|Determinación|Confianza||
enseñar|3|Seguridad|Confianza|*|
enseñó|3|Esperanza|Confianza|*|
enterrado|-3|Confuso|Tristeza|*|
enterrar|-3|Desafortunado|Enfado|*|
entretenido|2|Complacido|Alegría||
entusiasta|2|Complacido|Alegría||
equidad|2|Encantado|Alegría|*|
equilibrado|2|Complacido|Alegría|*|
equilibrar|2|Encantado|Alegría|*|
equilibrio|2|Fascinado|Alegría|*|
equipo|2|Fe|Confianza|*|
equivalente|2|Determinación|Confianza|*|
equivocado|-1|Confuso|Miedo|*|
errónea|-1|confuso|Miedo|*|
erroneamente|-1|confuso|Miedo|*|
erróneamente|-1|Perjudicial|Enfado|*|
erróneas|-1|confuso|Miedo|*|
erróneo|-1|Adverso|Enfado|*|
error|-1|Confuso|Tristeza|*|
errores|-1|confuso|Miedo|*|
escape|-2|confuso|Miedo|*|
esclavo|-2|Molestia|Enfado||
escombros|-2|Molestia|Enfado|*|
esencial|3|Fascinado|Alegría|*|
esfuerzo|3|Fascinado|Alegría|*|
esfuerzos|3|Fascinado|Alegría|*|
espantado|-1|Hostil|Enfado||
especial|3|Fascinado|Alegría|*|
especialista|3|Determinación|Confianza|*|
espectáculo|3|Entusiasmado|Alegría|*|
esperando|2|Esperanza|Confianza||
esperanza|1|Esperanza|Confianza||
esperanzas|1|Esperanza|Confianza||
esperar|1|Esperanza|Confianza||
espíritu|2|Complacido|Alegría||
espléndido|2|Complacido|Alegría||
esquema|-1|Desafortunado|Enfado||
estable|3|Seguridad|Confianza|*|
establecer|3|Determinación|Confianza|*|
establecido|3|Animado|Alegría|*|
estado|2|Complacido|Alegría|*|
estética|3|Entusiasmado|Alegría|*|
estético|3|Entusiasmado|Alegría|*|
estragos|-2|Hostil|Enfado|*|
estrés|-3|Adverso|Enfado|*|
estudiar|2|Entusiasmado|Alegría|*|
estupendo|2|Complacido|Alegría||
estúpido|-2|Perjudicial|Enfado||
ético|3|Complacido|Alegría||
evadir|-2|Perjudicial|Enfado|*|
evaluación|2|Impresión|Sorpresa|*|
eventual|2|Admiración|Sorpresa|*|
eventualidad|1|Confuso|Miedo|*|
evidente|2|Franqueza|Confianza|*|
evitar|-2|Confuso|Miedo|*|
evolución|3|Entusiasmado|Alegría|*|
exactitud|2|Franqueza|Confianza|*|
exagerado|-2|Perjudicial|Enfado|*|
exceder|-1|Impresión|Sorpresa|*|
excelencia|3|Seguridad|Confianza|*|
excelente|3|Franqueza|Confianza|*|
excepcional|3|Encantado|Alegría|*|
excesivo|-1|Molestia|Enfado|*|
exceso|-2|Desafortunado|Enfado|*|
excitación|2|Encantado|Alegría||
excitado|2|Encantado|Alegría||
excluido|-1|Confuso|Miedo||
excluir|-2|Confuso|Miedo||
exclusión|1|Confuso|Miedo||
exclusivo|2|Seguridad|Confianza||
excusa|-2|Desafortunado|Enfado|*|
exención|2|Encantado|Alegría|*|
exento|2|Encantado|Alegría||
exige|-2|Asombro|Sorpresa||
exigente|-2|Asombro|Sorpresa||
existencia|2|Tranquilo|Alegría||
éxito|2|Encantado|Alegría||
exitosamente|2|Satisfecho|Alegría||
exitoso|3|Satisfecho|Alegría||
expandir|2|Satisfecho|Alegría||
expectativa|2|Admiración|Sorpresa|*|
experto|2|Fe|Confianza|*|
explicaciones|-1|Enojado|Enfado|*|
explique|2|Esperanza|Confianza|*|
exploración|3|Asombro|Sorpresa||
explosión|-1|Pánico|Miedo|*|
exponer|1|Asombro|Sorpresa|*|
expuesto|2|Asombro|Sorpresa||
exquisito|3|Encantado|Alegría||
extender|2|Encantado|Alegría||
extendido|2|Encantado|Alegría|*|
extenso|2|Encantado|Alegría|*|
exterior|2|Entusiasmado|Alegría|*|
extra|2|Fascinado|Alegría|*|
extraño|-1|Molestia|Enfado|*|
extraordinario|3|Encantado|Alegría|*|
extraviado|-1|Perjudicial|Enfado|*|
extremo|-1|Desafortunado|Enfado|*|
fabuloso|2|Encantado|Alegría||
fácil|-1|Desfavorable|Enfado|*|
facilidad|-2|Desfavorable|Enfado||
facilitar|2|Entusiasmado|Alegría|*|
fácilmente|2|Fascinado|Alegría|*|
facturaba|1|Confusión|Sorpresa|*|
facturacíon|1|Confusión|Sorpresa|*|
facturada|1|Confusión|Sorpresa|*|
fácturado|1|Confusión|Sorpresa|*|
facturándole|1|Confusión|Sorpresa|*|
facturándolo|1|Confusión|Sorpresa|*|
facturarán|1|Confusión|Sorpresa|*|
facturas|1|Confusión|Sorpresa|*|
falla|-2|Adverso|Enfado|*|
fallas|-2|Adverso|Enfado||
fallo|-2|Adverso|Enfado||
falló|-2|Adverso|Enfado||
fallos|-2|Adverso|Enfado||
falsedad|-3|Hostil|Enfado|*|
falsificación|-3|Adverso|Enfado|*|
falta|-2|Perjudicial|Enfado|*|
faltante|-2|Perjudicial|Enfado||
falto|-1|Desafortunado|Enfado|*|
fama|1|Encantado|Alegría||
famoso|1|Encantado|Alegría||
fan|1|Encantado|Alegría||
fantasma|-2|Confuso|Miedo||
fantástico|2|Encantado|Alegría||
fascinante|3|Encantado|Alegría||
fatal|-3|Desafortunado|Enfado|*|
fatalidad|-3|Desafortunado|Enfado||
fatiga|-2|Hostil|Enfado|*|
favor|1|Complacido|Alegría||
favorable|3|Complacido|Alegría|*|
favores|3|Complacido|Alegría||
favorito|2|Complacido|Alegría||
favoritos|2|Complacido|Alegría||
fe|2|Franqueza|Confianza||
felicidad|3|Feliz|Alegría||
felicitaciones|3|Feliz|Alegría||
feliz|3|Complacido|Alegría|*|
feo|-3|Desagrado|Enfado|*|
fiabilidad|-1|Desafortunado|Enfado||
fiebre|-1|Agobiado|Tristeza||
fila|1|Insatisfecho|Enfado|*|
financiacion|1|Agobiado|Tristeza|*|
financiador|1|Pánico|Miedo|*|
financiar|1|Desafortunado|Enfado|*|
financiera|1|Agobiado|Tristeza|*|
fitness|2|Complacido|Alegría||
flexible|1|Complacido|Alegría||
flojo|-2|Perjudicial|Enfado|*|
fluctuación|1|Confuso|Miedo|*|
fondo|1|Agobiado|Tristeza|*|
forma|3|Entusiasmado|Alegría|*|
formación|3|Complacido|Alegría|*|
formalmente|3|Entusiasmado|Alegría|*|
formativo|2|Determinación|Confianza|*|
fórmula|2|Franqueza|Confianza|*|
fortalecer|2|Complacido|Alegría||
fortalecimiento|2|Complacido|Alegría||
fortuna|2|Feliz|Alegría||
forzado|-1|Inseguro|Miedo||
fracaso|-2|Agobiado|Tristeza||
franco|2|Franqueza|Confianza|*|
fraude|-2|Agobiado|Tristeza||
fuego|-2|Inseguro|Miedo||
fuerte|2|Fe|Confianza||
fuerza|2|Fe|Confianza||
fundamental|2|Franqueza|Confianza|*|
funeral|-2|Decepcionado|Tristeza||
furioso|-3|Insatisfecho|Enfado|*|
fusible|2|Tranquilo|Alegría|*|
fusión|2|Encantado|Alegría|*|
gana|4|Fascinado|Alegría||
ganado|4|Fascinado|Alegría||
ganador|4|Fascinado|Alegría||
ganancia|4|Fascinado|Alegría||
ganancias|4|Fascinado|Alegría||
ganando|4|Fascinado|Alegría||
ganar|4|Fascinado|Alegría||
ganó|4|Fascinado|Alegría||
garantía|2|Franqueza|Confianza||
gastado|-1|Adverso|Enfado|*|
gastos|-1|Adverso|Enfado|*|
generadas|-1|Insatisfecho|Enfado|*|
generador|-1|Alarmado|Miedo|*|
generadores|-1|Insatisfecho|Enfado|*|
generados|-1|Insatisfecho|Enfado|*|
genial|4|Contento|Alegría|*|
generoso|2|Fascinado|Alegría|*|
gestionar|2|Determinación|Confianza||
golpeado|-2|Insatisfecho|Enfado||
golpes|-2|Insatisfecho|Enfado||
gracia|2|Contento|Alegría||
gracias|2|Contento|Alegría||
grande|2|Animado|Alegría||
gratis|1|Complacido|Alegría||
gratuito|-2|Molestia|Enfado|*|
grave|-2|irritado|Enfado|*|
gravemente|-2|irritado|Enfado||
gravedad|-2|Triste|Tristeza|*|
graves|-2|Enfado|Enfado|*|
gris|-3|Enfado|Enfado||
guardado|-2|Adverso|Enfado||
guardar|-1|Adverso|Enfado||
guerra|-2|Agobiado|Tristeza||
guía|2|Esperanza|Confianza|*|
gusto|2|Animado|Alegría|*|
gusta|2|Animado|Alegría||
gustado|2|Animado|Alegría||
gustas|2|Animado|Alegría||
hábil|2|Entusiasmado|Alegría|*|
habilidad|1|Entusiasmado|Alegría||
habilidades|3|Entusiasmado|Alegría||
habilitación|2|Fe|Confianza|*|
habla|2|Complacido|Alegría|*|
hablar|2|Entusiasmado|Alegría|*|
habló|2|Entusiasmado|Alegría|*|
hacer|3|Fascinado|Alegría|*|
hambre|-2|Desfavorable|Enfado||
hecho|2|Esperanza|Confianza|*|
hechos|2|Determinación|Confianza|*|
hermoso|3|Fascinado|Alegría|*|
héroe|3|Seguridad|Confianza||
héroes|2|Seguridad|Confianza||
honesto|2|Franqueza|Confianza||
honor|2|Franqueza|Confianza||
honorable|2|Franqueza|Confianza|*|
horrible|-2|Furioso|Enfado|*|
horror|-2|Agresivo|Enfado|*|
hueco|-1|Inseguro|Miedo||
huelga|1|Inseguro|Miedo||
humor|2|Complacido|Alegría||
hurto|-2|Enojado|Enfado||
ignorado|-1|Desfavorable|Enfado||
ignorar|-1|Desfavorable|Enfado||
igualdad|3|Seguridad|Confianza|*|
ilegal|-2|Desagrado|Enfado|*|
ilegalidad|-2|Furioso|Enfado||
iluminación|2|Esperanza|Confianza|*|
iluminar|2|Complacido|Alegría|*|
impaciente|-2|Desconcierto|Sorpresa|*|
impar|-2|Desconcierto|Sorpresa||
implicar|1|Desfavorable|Enfado|*|
imponer|-1|Desconcierto|Sorpresa||
importa|1|Desconcierto|Sorpresa||
importancia|3|Entusiasmado|Alegría||
importante|3|Fe|Confianza||
imposible|-1|Hostil|Enfado|*|
impresión|2|Encantado|Alegría|*|
impresionado|2|Impresión|Sorpresa||
impresionante|2|Impresión|Sorpresa||
imprevisto|1|Asombro|Sorpresa||
improbable|-2|Desafortunado|Enfado||
imprudente|-2|Desafortunado|Enfado|*|
impuesto|-2|Desagrado|Enfado|*|
impulso|-2|Asombro|Sorpresa|*|
inadecuada|-2|Frustrado|Tristeza|*|
inadecuadamente|-2|Frustrado|Tristeza|*|
inadecuadas|-2|Frustrado|Tristeza|*|
inadecuado|-2|Frustrado|Tristeza|*|
inapropiado|-1|Frustrado|Tristeza||
inauguración|2|Entusiasmado|Alegría|*|
incapacidad|-4|Desafortunado|Enfado|*|
incapaz|-4|Desafortunado|Enfado||
incesante|-2|Desfavorable|Enfado|*|
incidente|-2|Confusión|Sorpresa|*|
incluido|2|Complacido|Alegría|*|
incluir|2|Complacido|Alegría|*|
inclusión|2|Fe|Confianza|*|
incluso|2|Complacido|Alegría|*|
incómoda|-2|Decepcionado|Tristeza|*|
incómodas|-2|Decepcionado|Tristeza|*|
incomodidad|-2|Frustrado|Tristeza|*|
incómodo|-2|Amargado|Tristeza|*|
incompleto|-2|Perjudicial|Enfado|*|
inconcluso|-1|Desfavorable|Enfado|*|
inconforme|-1|Descontento|Enfado|*|
inconformes|-1|Descontento|Enfado|*|
inconformidades|-1|Descontento|Enfado|*|
inconformismo|-1|Descontento|Enfado|*|
incongruentes|-1|Descontento|Enfado|*|
inconsistencia|-1|Descontento|Enfado|*|
inconsistencias|-1|Descontento|Enfado|*|
inconsistente|-1|Descontento|Enfado|*|
inconsistentes|-1|Descontento|Enfado|*|
inconveniente|-1|Descontento|Enfado|*|
inconvenientes|-1|Hostil|Enfado|*|
incorrecto|-1|Adverso|Enfado|*|
increíble|3|Complacido|Alegría|*|
incumpla|-1|Decepcionado|Tristeza|*|
incumple|-1|Decepcionado|Tristeza|*|
incumplen|-1|Decepcionado|Tristeza|*|
incumplida|-1|Decepcionado|Tristeza|*|
incumplidas|-1|Decepcionado|Tristeza|*|
incumplido|-1|Decepcionado|Tristeza|*|
incumpliendo|-1|Molestia|Enfado|*|
incumpliéndose|-1|Decepcionado|Tristeza|*|
incumpliera|-1|Decepcionado|Tristeza|*|
incumplieron|-1|Decepcionado|Tristeza|*|
incumplimento|-1|Decepcionado|Tristeza|*|
incumplimientos|-1|Decepcionado|Tristeza|*|
incumplió|-1|Decepcionado|Tristeza|*|
incumplir|-1|Decepcionado|Tristeza|*|
incumpliría|-1|Decepcionado|Tristeza|*|
incursionando|-1|Descontento|Enfado|*|
indemnizar|-1|Hostil|Enfado|*|
independencia|1|Animado|Alegría|*|
indeterminado|-1|Desafortunado|Enfado|*|
indignado|-1|molesto|Enfado|*|
indisponibilidad|-1|Molestia|Enfado|*|
indisponibilidades|-1|Molestia|Enfado|*|
indispuesto|-1|Molestia|Enfado||
inesperadamente|1|Admiración|Sorpresa|*|
inesperado|-2|Extrañeza|Sorpresa|*|
inestabilidad|-2|Angustiado|Miedo|*|
inestable|-2|Inseguro|Miedo|*|
infantil|-2|Enfado|Enfado|*|
infección|-3|Inseguro|Miedo||
infecciones|-2|Inseguro|Miedo||
infeccioso|-2|Inseguro|Miedo||
infectado|2|Inseguro|Miedo||
inferior|1|Decepcionado|Tristeza|*|
inferiores|1|Decepcionado|Tristeza|*|
infierno|-3|Furioso|Enfado|*|
inflación|-2|Desafortunado|Enfado|*|
influencia|2|Complacido|Alegría|*|
influyente|2|Determinación|Confianza|*|
información|2|Complacido|Alegría|*|
informar|2|Seguridad|Confianza|*|
infracción|-3|Desfavorable|Enfado|*|
infructuosa|-3|Enfado|Enfado|*|
infructuosamente|-3|Enfado|Enfado|*|
infructuoso|-3|Triste|Tristeza|*|
infructuosos|-3|Enfado|Enfado|*|
ingenio|2|Complacido|Alegría|*|
ingresos|1|Contento|Alegría|*|
inhabilitar|-1|Desfavorable|Enfado|*|
injusto|-2|molesto|Enfado|*|
inmediatamente|1|Adverso|Enfado|*|
inminente|-1|Asombro|Sorpresa|*|
inmune|-1|Desfavorable|Enfado||
innovación|2|Complacido|Alegría||
innovador|2|Complacido|Alegría||
inquieto|-1|Confusión|Sorpresa||
inquietud|-1|Confusión|Sorpresa|*|
insatisfacción|-2|Perjudicial|Enfado|*|
insatisfecho|-2|Descontento|Enfado|*|
inseguridad|-2|Desesperado|Miedo|*|
inspiración|3|Complacido|Alegría||
inspirado|3|Complacido|Alegría||
instrucción|1|Franqueza|Confianza|*|
instrucciones|1|Fe|Confianza|*|
insuficiente|-1|Hostil|Enfado|*|
insulto|-2|Enfado|Enfado|*|
integral|2|Esperanza|Confianza||
integridad|2|Esperanza|Confianza|*|
inteligente|3|Determinación|Confianza|*|
intenso|1|Animado|Alegría|*|
intentar|1|Franqueza|Confianza|*|
interés|-2|Hostil|Enfado||
interesado|4|Fascinado|Alegría|*|
interesante|2|Tranquilo|Alegría|*|
intereses|-2|Hostil|Enfado||
interferencia|-2|Desfavorable|Enfado|*|
interior|-2|Desfavorable|Enfado|*|
interpretación|-1|Hostil|Enfado|*|
interrumpe|-1|Confuso|Miedo|*|
interrumpen|-1|Confuso|Miedo|*|
interrumpido|-1|Confuso|Tristeza|*|
interrumpidos|-1|Confuso|Miedo|*|
interrumpiendo|-1|Confuso|Miedo|*|
interrumpieron|-1|Confuso|Miedo|*|
interrumpió|-1|Confuso|Miedo|*|
interrumpir|-1|Agresivo|Enfado|*|
interrupción|-1|Confuso|Miedo|*|
interrupciones|-1|Confuso|Miedo|*|
interrupieron|-1|Confuso|Miedo|*|
intervención|-2|Perjudicial|Enfado|*|
invadir|-2|Furioso|Enfado|*|
invalida|-2|Impotente|Tristeza|*|
invalidada|-2|Impotente|Tristeza|*|
invalidez|-3|Desfavorable|Enfado|*|
invalido|-3|Impotente|Tristeza|*|
invalidos|-3|Impotente|Tristeza|*|
invasión|-2|Confuso|Miedo|*|
investigar|2|Fascinado|Alegría|*|
invitación|2|Alegre|Alegría|*|
invitar|2|Alegre|Alegría||
involuntariamente|-1|Perjudicial|Enfado|*|
involuntario|-1|Desafortunado|Enfado|*|
ira|-3|irritado|Enfado||
irrefutable|1|Determinación|Confianza|*|
irregular|-1|Desfavorable|Enfado|*|
irreparable|-2|Apenado|Tristeza|*|
irrevocable|-2|Hostil|Enfado|*|
joder|-2|irritado|Enfado||
jodido|-2|irritado|Enfado||
joya|-2|Alegre|Alegría||
judicial|2|Admiración|Sorpresa||
juego|1|Desconcierto|Sorpresa|*|
juicio|-1|Susto|Sorpresa|*|
jurado|2|Seguridad|Confianza|*|
jurídica|1|Confusión|Sorpresa||
justa|2|Entusiasmado|Alegría|*|
justicia|2|Fe|Confianza|*|
justificación|2|Encantado|Alegría|*|
justificar|2|Fe|Confianza|*|
justo|2|Seguridad|Confianza|*|
lágrimas|-2|Apenado|Tristeza||
lamentablemente|-2|Decepcionado|Tristeza|*|
lanzado|-2|Impresión|Sorpresa||
lanzamiento|-2|Impresión|Sorpresa|*|
lapso|-1|Adverso|Enfado|*|
láser|1|Seguridad|Confianza|*|
lástima|-3|Amargado|Tristeza|*|
latente|-1|Confusión|Sorpresa|*|
lealtad|2|Fe|Confianza||
lector|2|Complacido|Alegría|*|
legado|2|Fe|Confianza|*|
legal|3|Esperanza|Confianza||
legalizado|3|Satisfecho|Alegría|*|
legalmente|2|Esperanza|Confianza||
legible|2|Complacido|Alegría|*|
legitimidad|2|Determinación|Confianza|*|
lentitud|1|Adverso|Enfado|*|
lento|1|Perjudicial|Enfado|*|
lesión|-3|molesto|Enfado||
lesionado|-1|Perjudicial|Enfado||
lesiones|2|Perjudicial|Enfado||
levantamiento|1|Confusión|Sorpresa|*|
ley|2|Determinación|Confianza|*|
libertad|2|Esperanza|Confianza||
líder|2|Determinación|Confianza|*|
liderazgo|2|Determinación|Confianza||
ligado|1|Adverso|Enfado|*|
limitación|-2|Decepcionado|Tristeza||
limitado|-2|Decepcionado|Tristeza||
límites|-3|Adverso|Enfado||
limpiador|2|Esperanza|Confianza||
limpio|2|Esperanza|Confianza||
lindo|2|Entusiasmado|Alegría||
lío|-3|Perjudicial|Enfado||
listo|2|Esperanza|Confianza||
litigio|1|Esperanza|Confianza||
llamaban|-1|Insatisfecho|Enfado|*|
llamadas|-1|Desconcierto|Sorpresa|*|
llamados|-1|Insatisfecho|Enfado|*|
llamamos|-1|Insatisfecho|Enfado|*|
llaman|-1|Insatisfecho|Enfado|*|
llamando|-1|Insatisfecho|Enfado|*|
llamara|-1|Insatisfecho|Enfado|*|
llamará|-1|Insatisfecho|Enfado|*|
llamaran|-1|Insatisfecho|Enfado|*|
llamaré|-1|Insatisfecho|Enfado|*|
llamaremos|-1|Insatisfecho|Enfado|*|
llamaria|-1|Insatisfecho|Enfado|*|
llamarían|-1|Insatisfecho|Enfado|*|
llamarla|-1|Insatisfecho|Enfado|*|
llamarlo|-1|Insatisfecho|Enfado|*|
llamarlos|-1|Insatisfecho|Enfado|*|
llamarnos|-1|Insatisfecho|Enfado|*|
llamaron|-1|Insatisfecho|Enfado|*|
llamé|-1|Insatisfecho|Enfado|*|
llamó|-1|Insatisfecho|Enfado|*|
llegada|-1|Extrañeza|Sorpresa|*|
llegar|-1|Susto|Sorpresa|*|
llenar|2|Franqueza|Confianza|*|
llorar|-3|Triste|Tristeza|*|
lluvioso|-2|Decepcionado|Tristeza|*|
localizar|1|Desconcierto|Sorpresa|*|
loco|-2|Molestia|Enfado|*|
locura|-2|Molestia|Enfado||
lógico|2|Entusiasmado|Alegría||
lograr|1|Entusiasmado|Alegría||
logro|3|Satisfecho|Alegría||
longevidad|3|Fascinado|Alegría||
lotería|1|Extrañeza|Sorpresa||
lucha|-1|Desconcierto|Sorpresa||
lucro|2|Entusiasmado|Alegría||
lujo|1|Esperanza|Confianza||
luminoso|1|Esperanza|Confianza||
maduro|-1|Extrañeza|Sorpresa||
magnífico|2|Fascinado|Alegría||
mal|-2|Enojado|Enfado|*|
maldito|1|Enojado|Enfado||
malentendido|-2|Desafortunado|Enfado|*|
malestar|-2|Frustrado|Tristeza|*|
malo|-2|molesto|Enfado|*|
malvado|-1|molesto|Enfado|*|
mañana|1|Confusión|Sorpresa|*|
manipulación|-2|Enojado|Enfado|*|
manipular|-2|Adverso|Enfado|*|
mantenimiento|2|Fe|Confianza|*|
maravilla|3|Fascinado|Alegría||
maravilloso|3|Fascinado|Alegría||
mareado|-1|Frustrado|Tristeza||
mata|-3|Desesperado|Miedo|*|
matando|-4|Desesperado|Miedo|*|
matar|-4|Desesperado|Miedo|*|
materia|-3|Desesperado|Miedo||
matriz|2|Complacido|Alegría|*|
máxima|3|Franqueza|Confianza|*|
máximo|3|Complacido|Alegría|*|
mayor|2|Seguridad|Confianza|*|
mayoria|2|Animado|Alegría|*|
meando|2|Fascinado|Alegría||*
mear|2|Fascinado|Alegría||*
medalla|3|Fascinado|Alegría||
mediación|2|Complacido|Alegría|*|
mediar|2|Encantado|Alegría|*|
medida|2|Esperanza|Confianza|*|
medir|2|Fe|Confianza|*|
mejor|3|Tranquilo|Alegría||
mejora|2|Tranquilo|Alegría||
mejorado|1|Encantado|Alegría||
mejorando|2|Entusiasmado|Alegría||
mejorar|2|Satisfecho|Alegría||
menor|-1|Enfado|Enfado|*|
mensajero|1|Fe|Confianza|*|
mentira|-2|Insatisfecho|Enfado|*|
mentiras|-2|Fastidio|Enfado|*|
mentor|2|Franqueza|Confianza|*|
mérito|3|Entusiasmado|Alegría|*|
meritorio|1|Agradecido|Alegría|*|
mesurado|1|Seguridad|Confianza|*|
meter|1|Confusión|Sorpresa|*|
miedo|-2|Aterrado|Miedo||
mierda|-1|Fastidio|Enfado||
milagro|2|Admiración|Sorpresa|*|
ministerio|2|Esperanza|Confianza|*|
misericordia|-5|Desesperado|Miedo||
misterio|1|Extrañeza|Sorpresa|*|
mito|-1|Extrañeza|Sorpresa||
modelo|2|Complacido|Alegría|*|
moderar|2|Fascinado|Alegría|*|
modesto|3|Fascinado|Alegría|*|
modificar|3|Desconcierto|Sorpresa|*|
molesta|-2|Molesto|Enfado|*|
molestando|-2|Molesto|Enfado|*|
molestar|-2|molesto|Enfado|*|
molestia|-2|Descontento|Enfado|*|
molesto|-2|irritado|Enfado|*|
molestos|-2|Molesto|Enfado|*|
montaje|1|Determinación|Confianza|*|
montaña|2|Admiración|Sorpresa|*|
moral|2|Encantado|Alegría|*|
morir|-3|Desafortunado|Enfado||
mortal|-1|Desafortunado|Enfado||
mota|-1|Desafortunado|Enfado|*|
motivación|3|Encantado|Alegría|*|
motivado|3|Encantado|Alegría|*|
motivo|3|Encantado|Alegría|*|
móvil|2|Complacido|Alegría|*|
movimiento|1|Impresión|Sorpresa|*|
mudar|-1|Desfavorable|Enfado|*|
muerte|-3|Alarmado|Miedo|*|
muerto|-3|Desafortunado|Enfado|*|
mugre|-2|Molestia|Enfado|*|
muriendo|-3|Desafortunado|Enfado|*|
